lambda,log2_N,log2_delta,q0,L,log2_precision
128,14,21,23,1,1
128,14,21,23,2,1
128,14,21,23,3,1
128,14,21,23,4,1
128,14,21,23,5,1
128,14,21,23,6,1
128,14,21,23,7,1
128,14,21,23,8,1
128,14,21,23,9,1
128,14,21,23,10,1
128,14,21,23,11,1
128,14,21,23,12,1
128,14,21,23,13,1
128,14,21,23,14,1
128,14,21,23,15,1
128,14,21,23,16,1
128,14,21,23,17,1
128,14,21,24,1,1
128,14,21,24,2,1
128,14,21,24,3,1
128,14,21,24,4,1
128,14,21,24,5,1
128,14,21,24,6,1
128,14,21,24,7,1
128,14,21,24,8,1
128,14,21,24,9,1
128,14,21,24,10,1
128,14,21,24,11,1
128,14,21,24,12,1
128,14,21,24,13,1
128,14,21,24,14,1
128,14,21,24,15,1
128,14,21,24,16,1
128,14,21,24,17,1
128,14,21,25,1,1
128,14,21,25,2,1
128,14,21,25,3,1
128,14,21,25,4,1
128,14,21,25,5,1
128,14,21,25,6,1
128,14,21,25,7,1
128,14,21,25,8,1
128,14,21,25,9,1
128,14,21,25,10,1
128,14,21,25,11,1
128,14,21,25,12,1
128,14,21,25,13,1
128,14,21,25,14,1
128,14,21,25,15,1
128,14,21,25,16,1
128,14,21,25,17,1
128,14,21,26,1,1
128,14,21,26,2,1
128,14,21,26,3,1
128,14,21,26,4,1
128,14,21,26,5,1
128,14,21,26,6,1
128,14,21,26,7,1
128,14,21,26,8,1
128,14,21,26,9,1
128,14,21,26,10,1
128,14,21,26,11,1
128,14,21,26,12,1
128,14,21,26,13,1
128,14,21,26,14,1
128,14,21,26,15,1
128,14,21,26,16,1
128,14,21,26,17,1
128,14,21,27,1,1
128,14,21,27,2,1
128,14,21,27,3,1
128,14,21,27,4,1
128,14,21,27,5,1
128,14,21,27,6,1
128,14,21,27,7,1
128,14,21,27,8,1
128,14,21,27,9,1
128,14,21,27,10,1
128,14,21,27,11,1
128,14,21,27,12,1
128,14,21,27,13,1
128,14,21,27,14,1
128,14,21,27,15,1
128,14,21,27,16,1
128,14,21,27,17,1
128,14,21,28,1,1
128,14,21,28,2,1
128,14,21,28,3,1
128,14,21,28,4,1
128,14,21,28,5,1
128,14,21,28,6,1
128,14,21,28,7,1
128,14,21,28,8,1
128,14,21,28,9,1
128,14,21,28,10,1
128,14,21,28,11,1
128,14,21,28,12,1
128,14,21,28,13,1
128,14,21,28,14,1
128,14,21,28,15,1
128,14,21,28,16,1
128,14,21,28,17,1
128,14,21,29,1,1
128,14,21,29,2,1
128,14,21,29,3,1
128,14,21,29,4,1
128,14,21,29,5,1
128,14,21,29,6,1
128,14,21,29,7,1
128,14,21,29,8,1
128,14,21,29,9,1
128,14,21,29,10,1
128,14,21,29,11,1
128,14,21,29,12,1
128,14,21,29,13,1
128,14,21,29,14,1
128,14,21,29,15,1
128,14,21,29,16,1
128,14,21,29,17,1
128,14,21,30,1,1
128,14,21,30,2,1
128,14,21,30,3,1
128,14,21,30,4,1
128,14,21,30,5,1
128,14,21,30,6,1
128,14,21,30,7,1
128,14,21,30,8,1
128,14,21,30,9,1
128,14,21,30,10,1
128,14,21,30,11,1
128,14,21,30,12,1
128,14,21,30,13,1
128,14,21,30,14,1
128,14,21,30,15,1
128,14,21,30,16,1
128,14,21,30,17,1
128,14,21,31,1,1
128,14,21,31,2,1
128,14,21,31,3,1
128,14,21,31,4,1
128,14,21,31,5,1
128,14,21,31,6,1
